position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,1549,38.91666667,1545.111111,27.44444444,1523.5,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
1,1548.312501,39.93750377,1545.363639,26.50001329,1523.5,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
2,1548.9375,40.81250003,1545.565217,27.08695664,1524,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
3,1548.8125,41.59375084,1546.045455,28.13636697,1524,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
4,1548.709678,42.77419516,1546.000001,28.95652753,1524,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
5,1548.62069,43.51724144,1546.125,29.37500022,1524,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
6,1548.666671,44.30002972,1546.444456,30.55562812,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
7,1548.633334,44.50000109,1546.64,31.36000359,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
8,1548.697005,44.87891199,1546.928596,32.14319122,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
9,1548.909091,45.15151516,1546.392857,32.8214286,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
10,1548.694444,45.47222742,1546.592596,33.77778898,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
11,1548.495305,45.8967578,1547.939752,35.09864848,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
12,1548.520056,46.29429558,1548.103939,36.49312191,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
13,1548.457135,45.88581002,1546.200074,35.33352496,1525,28,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
14,1548.333307,46.15218379,1545.871418,35.77526223,1528.5,28.5,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
15,1548.028207,46.40333714,1545.467168,35.86295803,1528.5,28.5,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
16,1547.909091,47.00002771,1545.290342,36.00005163,1528.5,28.5,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
17,1547.617646,48.02941789,1545.100005,36.60001276,1528.5,28.5,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
18,1547.558818,48.8235397,1545.500013,37.46431035,1528.5,28.5,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
19,1547.484848,49.54545409,1544.862069,37.55172377,1528.5,28.5,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
20,1547.575701,50.03048606,1546.928672,39.21464912,1529,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
21,1547.51515,50.87879347,1547.034486,39.58621908,1529,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
22,1547.40625,51.65625032,1547.035714,40.14285792,1529,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
23,1547.272727,52.81818187,1547.571429,40.67857156,1529,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
24,1547.391361,53.63408986,1549.390004,42.63969336,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
25,1547.242232,54.61422624,1549.204541,44.15896863,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
26,1547.369549,54.91926855,1549.591355,43.19810901,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
27,1547.677469,55.81465929,1549.537085,44.21598482,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
28,1547.796547,56.83528869,1549.533811,44.98305603,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
29,1547.897054,57.92739009,1549.596545,46.53126519,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
30,1548.252812,58.44160048,1549.508039,47.36090589,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
31,1548.556851,58.65007036,1549.695916,47.3926623,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
32,1549.093475,60.10274426,1550.117477,48.22184345,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
33,1549.241477,61.48373086,1550.168677,49.24151779,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
34,1549.189927,62.04904223,1550.229463,50.47779806,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
35,1549.271496,62.79608665,1550.2349,51.84590011,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
36,1549.358599,63.11886546,1550.200983,51.90373157,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
37,1549.443191,64.1879538,1550.150597,52.62888365,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
38,1549.977032,65.61465066,1550.249896,53.28753026,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
39,1550.301362,66.241432,1550.2982,54.24010762,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
40,1550.513582,66.81120659,1550.344762,54.58732301,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
41,1550.617674,67.64722619,1550.275849,55.34529347,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
42,1550.853003,69.44165967,1550.275863,55.93219166,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
43,1551.114297,70.77190724,1549.961679,56.84739027,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
44,1551.02635,71.36866655,1549.961576,57.84690609,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
45,1551.105397,72.57963469,1549.814898,58.96487163,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
46,1551.257162,73.85749418,1549.807808,59.88550334,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
47,1551.622015,74.83906566,1549.607299,60.61029134,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
48,1551.891898,75.45949161,1549.551737,61.93111814,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
49,1551.901159,75.80611146,1549.609657,63.05020059,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
50,1552.318021,76.63755524,1549.587713,63.87055823,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
51,1552.833334,78.41667085,1549.875003,64.87501303,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
52,1552.833334,79.41666909,1549.875002,65.50000784,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
53,1552.769231,80.41025985,1550.040003,66.24001189,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
54,1552.942859,81.20000655,1550.281253,67.53126621,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
55,1553.166692,82.83344393,1550.312545,68.37524817,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
56,1553.650462,83.92460441,1550.863863,69.84109559,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
57,1553.637508,84.40488623,1550.742844,71.0253483,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
58,1553.897493,85.15398042,1551.266703,71.60039503,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
59,1553.944532,86.27797865,1551.400038,72.50053534,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
60,1554.075098,87.85051204,1551.677619,73.54967444,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
61,1554.104958,88.47575389,1551.694393,75.16766944,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
62,1554.103724,89.41781082,1551.559791,75.83708963,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
63,1553.962452,90.06870763,1551.427173,77.09728773,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
64,1553.945941,90.86851955,1551.729154,77.70401068,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
65,1554.001761,92.44291454,1551.93505,79.25117801,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
66,1553.92412,93.24525512,1552.117772,79.89273297,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
67,1554.187773,93.66291946,1552.23026,80.61000176,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
68,1554.333334,94.67153001,1552.720797,81.47957721,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
69,1554.384569,95.70430567,1553.060957,82.62381332,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
70,1554.583325,97.08346694,1553.764743,83.85325811,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
71,1554.361097,98.25013069,1553.948743,84.51308989,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
72,1554.083233,99.55590383,1554.111209,85.30629665,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
73,1553.897914,100.3854754,1554.821097,86.72110019,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
74,1553.361568,100.8411402,1554.900857,87.25416504,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
75,1552.440712,102.5706341,1555.029782,89.28076486,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
76,1551.370594,103.8272901,1555.05863,90.36784475,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
77,1550.859337,104.2916331,1554.810469,90.5276372,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
78,1550.515021,104.7811097,1554.513362,91.55026225,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
79,1549.81958,106.0462306,1554.741716,92.51152786,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
80,1549.436408,106.5454751,1554.336911,93.72870672,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
81,1549.371144,106.6875032,1554.404493,94.33619653,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
82,1549.152427,107.3046863,1554.21835,95.38419664,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
83,1548.8299,107.8843038,1554.103544,96.47473822,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
84,1548.496417,108.7812666,1553.613632,97.6162262,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
85,1548.938599,108.762104,1553.551034,97.85162656,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
86,1549.472947,108.7461647,1553.494033,98.30338898,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
87,1549.497133,109.1588381,1553.267211,98.74452476,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
88,1549.567853,109.4627947,1552.993521,99.50300934,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
89,1549.784395,110.3325864,1553.007382,99.69372589,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
90,1550.267274,109.9921163,1552.97379,99.6204369,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
91,1550.686507,111.0354978,1552.816398,100.8461644,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
92,1551.182103,111.2117078,1552.830219,100.8801051,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
93,1551.47891,111.5042298,1552.842317,100.7288287,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
94,1551.858674,112.1109632,1553.046499,101.094787,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
95,1551.974591,112.8244114,1552.766855,101.8703439,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
96,1552.229865,113.691587,1552.858751,101.7519632,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
97,1552.353049,113.8803544,1552.727151,102.3208924,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
98,1552.288717,114.723024,1552.635628,102.894322,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
99,1552.324361,114.4647253,1552.563147,102.2981185,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
100,1552.262041,115.1970054,1552.176913,103.4117287,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
101,1552.250473,116.1949483,1551.99573,104.5782213,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
102,1552.595331,116.4501479,1551.770711,103.90699,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
103,1552.579822,117.104431,1551.677845,103.9995436,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
104,1552.618166,117.9834783,1551.599032,104.8506285,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
105,1552.732161,118.6332979,1551.544904,105.5163497,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
106,1552.650948,119.834526,1551.408208,106.6464463,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
107,1552.658287,121.0830483,1551.32342,107.0733449,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
108,1552.693493,122.2249186,1551.20813,108.4675001,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
109,1552.732041,123.1005681,1551.219465,108.9131145,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
110,1552.634182,123.9760183,1551.303122,109.5464194,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
111,1552.969713,124.787968,1551.354854,110.3550301,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
112,1553.142939,125.3622463,1551.350751,111.564633,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
113,1553.525035,126.1003854,1551.300177,112.0675677,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
114,1553.601043,126.610985,1551.308321,113.716324,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
115,1553.9808,126.7335592,1551.040263,114.7972911,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
116,1554.187327,127.819732,1550.698155,115.5576936,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
117,1554.405121,128.6856632,1551.195714,116.9637365,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
118,1554.477739,129.5930362,1551.440128,117.0145111,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
119,1554.186358,130.2684215,1551.331636,117.1229735,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
120,1554.25008,130.7551169,1551.902937,117.84388,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
121,1554.143699,132.5193902,1552.301445,119.3780296,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
122,1554.280825,133.5339998,1552.638545,120.5984034,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
123,1554.317429,134.2558552,1552.81133,121.1477349,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
124,1554.417361,135.056691,1553.151094,122.7550396,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
125,1554.461749,135.9299373,1553.706097,124.1655546,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
126,1554.608411,136.7441374,1554.262633,125.0875412,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
127,1554.581133,136.9868221,1554.540868,125.833303,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
128,1554.331969,137.6570148,1554.623426,126.5730378,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
129,1554.284856,138.540075,1554.931361,127.9021703,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
130,1554.349332,139.572303,1554.861732,129.1077378,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
131,1554.048163,140.4809073,1555.268438,130.1375494,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
132,1554.040123,141.4605479,1555.381544,131.3150552,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
133,1553.979492,141.7611197,1555.81177,130.8181282,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
134,1554.281852,142.4031349,1556.10867,130.3546106,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
135,1554.4138,142.7418391,1556.372851,129.888086,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
136,1554.352871,143.073792,1556.206199,130.0177789,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
137,1554.525005,143.920879,1556.157301,130.822036,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
138,1554.525544,145.5018802,1556.30735,132.2639563,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
139,1554.482923,146.5351836,1556.363303,133.3530746,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
140,1554.685107,146.7398737,1556.476585,134.0718282,1529.5,29,1665.526685,18.90941011,1633.276813,-4.753830439,1659.061798,25.42022472
