position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
0,1079.710889,18.22002545,1081.996508,11.01635165,1097.5,49,1140.13608,47.54556804,,
1,1079.618117,18.3495338,1081.724303,11.56355491,1097.526316,49.10526316,1140.13608,47.54556804,,
2,1079.785729,18.99797778,1081.855555,12.15008411,1097.526316,49.10526316,1140.13608,47.54556804,,
3,1079.878012,19.19996853,1081.817835,12.37935972,1097.526316,49,1140.13608,47.54556804,,
4,1079.84794,19.75073907,1081.804716,12.39247126,1097.526316,49,1140.13608,47.54556804,,
5,1079.666501,20.58345333,1081.713593,12.93158862,1097.666667,48.80952381,1140.13608,47.54556804,,
6,1079.714737,21.35218565,1081.715468,13.35557075,1097.823529,48.29411765,1140.13608,47.54556804,,
7,1079.714119,21.78717706,1081.713068,13.9325472,1098,48.125,1140.13608,47.54556804,,
8,1079.714678,22.21190276,1081.499685,14.64491021,1098,48.125,1140.13608,47.54556804,,
9,1079.713581,22.21720295,1081.178854,15.10593557,1098,48.125,1140.13608,47.54556804,,
10,1079.187497,23.18751066,1081.363508,15.27319857,1098,48,1140.13608,47.54556804,,
11,1079.26591,23.40311311,1080.91437,15.92747683,1098.176471,47.58823529,1140.13608,47.54556804,,
12,1079.20075,23.73027406,1080.914667,16.25845562,1098.117647,47.41176471,1140.13608,47.54556804,,
13,1079.267057,24.19976774,1080.66497,17.08976901,1098.117647,47.41176471,1140.13608,47.54556804,,
14,1079.124701,24.62663697,1080.665159,17.09047995,1098.235294,47.23529412,1140.13608,47.54556804,,
15,1079.230945,25.61689156,1080.332258,17.9212191,1098.294118,47,1140.13608,47.54556804,,
16,1079.198943,26.07132745,1080.498728,17.92709236,1098.388889,46.77777778,1140.13608,47.54556804,,
17,1079.384599,26.69221265,1080.45434,18.27460156,1098.277778,46.44444444,1140.13608,47.54556804,,
18,1079.383988,26.54122111,1080.499001,19.00866746,1098.352941,46.23529412,1140.13608,47.54556804,,
19,1079.398548,26.93541477,1080.454082,19.28759676,1098.470588,45.88235294,1140.13608,47.54556804,,
20,1079.31235,27.49924365,1080.499999,19.50235904,1098.4,45.73333333,1140.13608,47.54556804,,
21,1079.188351,27.49107791,1080.454889,20.2767021,1098.4,45.73333333,1140.13608,47.54556804,,
22,1078.99686,27.80111125,1080.4995,20.52005158,1098.3125,45.75,1140.13608,47.54556804,,
23,1078.85619,28.35852198,1080.499174,21.00773335,1098.352941,45.41176471,1140.13608,47.54556804,,
24,1078.860037,28.34234211,1080.584369,21.16556858,1098.3125,45.1875,1140.13608,47.54556804,,
25,1079.066667,25.33333332,1080,19.5,923.5486685,655.4036743,1078.590494,27.58752271,923.001451,659.6367704
26,1079.000377,24.01244556,1080.2,19.6,923.5486685,655.4036743,1079.083414,26.83621855,923.001451,659.6367704
27,1078.815864,24.78363264,1080.399998,19.8000074,923.5486685,655.4036743,1079.188454,27.08585703,923.001451,659.6367704
28,1078.960733,25.29086562,1080.499993,20.00001646,923.5486685,655.4036743,1079.385797,27.61652241,923.001451,659.6367704
29,1079.009676,25.48669264,1080.428553,20.28587084,923.5486685,655.4036743,1079.192484,28.08414048,923.001451,659.6367704
30,1079.013361,25.77966427,1080.499998,20.49999623,923.5486685,655.4036743,1079.195959,28.10464469,923.001451,659.6367704
31,1079.06694,27.59863938,1080.444657,20.7767317,923.5486685,655.4036743,1099,43,923.001451,659.6367704
32,1079.00004,27.81226387,1080.500024,20.99997959,923.5486685,655.4036743,1098,44,923.001451,659.6367704
33,1078.933338,28.39997432,1080.500004,20.99998627,923.5486685,655.4036743,1097.75,44,923.001451,659.6367704
34,1078.933338,28.39997433,1080.500004,20.99998627,923.5486685,655.4036743,1097.75,44,923.001451,659.6367704
35,1079.004547,28.16787569,1080.803915,21.58888429,923.5486685,655.4036743,1098.222222,43.88888889,923.001451,659.6367704
36,1078.813964,28.99505101,1080.616314,22.380682,923.5486685,655.4036743,1098.166667,43.41666667,923.001451,659.6367704
37,1078.917172,29.70426486,1080.523863,22.85704772,923.5486685,655.4036743,1098.166667,43.41666667,923.001451,659.6367704
38,1078.896915,29.60013644,1080.57849,23.15554999,923.5486685,655.4036743,1098.133333,43.93333333,923.001451,659.6367704
39,1078.995155,29.57012389,1080.707942,23.45473135,923.5486685,655.4036743,1098.133333,43.93333333,923.001451,659.6367704
40,1078.863824,30.07692804,1080.350535,24.87989422,923.5486685,655.4036743,1098.133333,43.93333333,923.001451,659.6367704
41,1078.852435,30.4305983,1080.365896,25.8587174,923.5486685,655.4036743,1098.133333,43.93333333,923.001451,659.6367704
42,1079.285318,30.78597197,1080.299834,25.95193045,923.5486685,655.4036743,1098.058824,44.29411765,923.001451,659.6367704
43,1079.718632,31.00783509,1080.234001,25.91136706,923.5486685,655.4036743,1098.058824,44.29411765,923.001451,659.6367704
