position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
0,1055.3877928483355,60.77558569667078,1056.0,53.5,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
1,1054.5566180097708,59.81948806042408,1056.4398718478033,53.100823905854185,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
2,1054.5542000172532,59.82631561511111,1056.4700330837686,53.217221842647405,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
3,1054.4735709417716,60.117087527319576,1056.5818453598295,53.14814658583445,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
4,1054.402937187995,60.91532635085676,1056.3968543773124,53.440877289312674,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
5,1054.5531835749905,61.05958982287241,1056.344131921877,53.52025806261035,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
6,1054.5590737972727,61.47339220043597,1056.1352101106827,54.25491806169444,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
7,1054.538311471493,62.22384964487644,1055.9897376073504,54.71357155220051,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
8,1054.394293702785,62.44385175438085,1055.8457375227456,55.1754453854474,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
9,1054.3798223151882,62.70982086644885,1055.4398971584335,55.654493347039185,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
10,1054.3039897097783,63.04450071221124,1055.4352045943644,55.86318150193889,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
11,1054.1645223631233,62.96865772156855,1055.2599462933474,56.49614302061832,1099.7262638717634,54.55117139334154,1094.0756781750924,85.20761405672008,1092.6750924784214,71.0924784217016
