position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,1065.454545,13.27272727,1066.1,5.000000004,1097.460674,17.48539326,,,,,,
1,1065.166667,13.58333333,1065.916667,5.25000001,1097.460674,17.48539326,,,,,,
2,1065,14,1065.8,5.700000001,1097.460674,17.48539326,,,,,,
3,1065.230769,14.53846154,1065.916667,5.916666668,1097.460674,17.48539326,,,,,,
4,1065.363636,14.90909091,1065.769231,6.076923077,1097.460674,17.48539326,,,,,,
5,1065.384615,15.38461538,1065.7,6.6,1097.460674,17.48539326,,,,,,
6,1065.923077,16.30769231,1065.636364,6.909090909,1097.460674,17.48539326,,,,,,
7,1065.933333,16.6,1065.6,7.466666667,1097.460674,17.48539326,,,,,,
8,1066,17.21428571,1065.5,7.5,1097.460674,17.48539326,,,,,,
9,1066,17.21428571,1065.333333,7.916666667,1097.460674,17.48539326,,,,,,
10,1065.928571,17.85714286,1065.5,8,1097.460674,17.48539326,,,,,,
11,1066,18,1065.2,8.5,1097.460674,17.48539326,,,,,,
12,1065.933333,18.33333333,1064.833333,9.166666667,1097.460674,17.48539326,,,,,,
13,1065.875,18.5,1064.833333,9.166666667,1097.460674,17.48539326,,,,,,
14,1065.933333,18.66666667,1064.615385,9.461538462,1097.460674,17.48539326,,,,,,
15,1066,19,1064.454545,9.909090909,1097.460674,17.48539326,,,,,,
16,1065.846154,19.23076923,1064.363636,10.18181818,1097.460674,17.48539326,,,,,,
17,1065.846154,19.23076923,1064.3,10.4,1097.460674,17.48539326,,,,,,
18,1066.083333,18.91666667,1064.2,11.3,1097.460674,17.48539326,,,,,,
19,1066.083333,18.91666666,1064.181818,12.09090909,1097.460674,17.48539326,,,,,,
20,1066.153846,18.76923077,1064.181818,12.09090911,1097.460674,17.48539326,,,,,,
21,1066.153846,18.76923077,1064.090909,12.54545456,1097.460674,17.48539326,,,,,,
22,1066.153847,18.76923247,1064.083334,13.08333858,1097.460674,17.48539326,,,,,,
23,1066.285715,18.85714399,1064.000001,13.00000364,1097.460674,17.48539326,,,,,,
24,1066.437502,19.18750351,1064.083335,13.08334183,1097.460674,17.48539326,,,,,,
25,1066.529415,19.35294653,1064.083336,13.08334601,1097.460674,17.48539326,,,,,,
26,1066.624999,19.49999561,1064.166666,13.4166653,1097.460674,17.48539326,,,,,,
27,1066.733369,19.53336458,1064.142876,13.42867383,1097.460674,17.48539326,,,,,,
28,1067.133333,20.2,1064.142857,13.42857143,1097.460674,17.48539326,,,,,,
29,1067.142857,20.42857143,1064.083333,13.83333334,1097.460674,17.48539326,,,,,,
30,1067.37501,20.62501879,1064.250017,13.9167058,1097.460674,17.48539326,,,,,,
31,1067.733333,20.93333364,1064.25,13.91666727,1097.460674,17.48539326,,,,,,
32,1068,20.85714289,1064.230769,14.15384628,1097.460674,17.48539326,,,,,,
33,1068.133404,21.06673461,1064.500047,14.50013967,1097.460674,17.48539326,,,,,,
34,1068.285722,21.21429038,1064.466672,14.66668402,1097.460674,17.48539326,,,,,,
35,1068.651962,21.65022051,1064.859821,15.4388708,1097.460674,17.48539326,,,,,,
36,1069.000004,22.0000042,1064.933338,15.60001081,1097.460674,17.48539326,,,,,,
37,1068.823531,22.05882491,1064.857145,15.64286179,1097.460674,17.48539326,,,,,,
38,1069.111111,22.50000002,1064.866667,15.40000017,1097.460674,17.48539326,,,,,,
39,1069.117655,22.64707718,1064.928597,15.71432189,1097.460674,17.48539326,,,,,,
40,1069.133334,23.06666697,1065,16.00000084,1097.460674,17.48539326,,,,,,
41,1069.133336,23.06666922,1064.846157,16.15385309,1097.460674,17.48539326,,,,,,
42,1069.500001,23.56250083,1064.866668,16.4000031,1097.460674,17.48539326,,,,,,
43,1069.866667,24.33333333,1064.866667,16.4,1097.460674,17.48539326,,,,,,
44,1069.875,24.5,1064.923077,16.53846154,1097.460674,17.48539326,,,,,,
45,1069.857143,24.57142857,1064.916667,17.08333333,1097.460674,17.48539326,,,,,,
46,1069.733333,25.00000001,1065.133333,17.60000002,1097.460674,17.48539326,,,,,,
47,1069.733333,25.33333334,1065.133333,17.60000002,1097.460674,17.48539326,,,,,,
48,1069.642857,25.57142857,1065.25,17.75,1097.460674,17.48539326,,,,,,
49,1069.866667,26.4,1065.25,17.75,1097.460674,17.48539326,,,,,,
50,1069.916667,26.75,1065.4,18.33333333,1097.460674,17.48539326,,,,,,
