position,x0,y0,x1,y1,,,,,,,,
0,1614.925,21.175,1615.545455,9.590909091,,,,,,,,
1,1614.925,21.175,1615.545455,9.590909091,,,,,,,,
2,1614.287927,22.47372892,1615.255816,10.0947119,,,,,,,,
3,1614.229763,22.94833007,1615.33341,10.41993321,,,,,,,,
4,1614.188559,23.81140036,1615.266708,11.00518836,,,,,,,,
5,1613.974841,24.7883107,1615.452632,11.65003398,,,,,,,,
6,1613.250563,26.1362013,1615.511472,12.74456631,,,,,,,,
7,1613.217277,26.77783106,1615.636651,13.36210299,,,,,,,,
8,1613.251247,27.07642933,1615.674596,14.09225926,,,,,,,,
9,1612.902348,27.92403427,1615.704834,14.63800492,,,,,,,,
10,1612.903125,28.9218037,1615.638712,15.31850096,,,,,,,,
11,1612.499827,29.99943501,1615.674501,16.09395423,,,,,,,,
12,1612.342545,30.20743783,1615.57153,16.81024999,,,,,,,,
13,1612.053102,30.99783594,1615.340829,17.31869337,,,,,,,,
14,1611.945785,31.08058679,1615.166418,17.76395641,,,,,,,,
15,1611.289942,31.9450343,1614.881009,18.38125134,,,,,,,,
16,1610.999609,32.00064007,1614.742388,19.28685749,,,,,,,,
17,1610.598073,32.0763761,1614.752641,20.20902189,,,,,,,,
18,1609.973602,32.35787829,1614.750629,20.84522703,,,,,,,,
19,1609.444799,32.7371856,1614.732384,21.77824993,,,,,,,,
20,1608.422454,33.18707187,1614.879274,22.34026154,,,,,,,,
21,1607.904645,33.51201642,1615.007967,23.22443403,,,,,,,,
22,1607.294793,33.76841344,1615.003897,24.10570928,,,,,,,,
23,1606.547137,34.02975505,1615.034883,24.41834409,,,,,,,,
24,1605.668171,34.07647087,1614.764499,24.96721304,,,,,,,,
25,1605.200019,34.19208932,1614.357541,25.81135739,,,,,,,,
26,1604.399833,34.4171944,1613.798226,26.59664702,,,,,,,,
27,1603.555697,34.37336732,1613.259312,27.37671854,,,,,,,,
28,1602.532696,34.65121449,1612.724358,27.57043485,,,,,,,,
29,1602.240856,34.47739207,1612.313439,27.73898412,,,,,,,,
30,1600.775213,34.55922573,1611.756158,28.14413571,,,,,,,,
31,1600.546892,34.450297,1611.004766,28.7943891,,,,,,,,
32,1600.196409,34.41409936,1610.553804,29.17253411,,,,,,,,
33,1599.543535,34.3705481,1609.642786,30.03233742,,,,,,,,
34,1598.941346,34.41916882,1609.52152,30.29385018,,,,,,,,
35,1598.672609,34.38707879,1609.351843,30.36598423,,,,,,,,
36,1598.618981,34.46778219,1608.607415,30.56983809,,,,,,,,
37,1598.490522,34.44716915,1608.397008,30.50704808,,,,,,,,
38,1597.365202,34.47903805,1607.825185,30.58624408,,,,,,,,
39,1597.594425,34.75481962,1607.807763,30.41583742,,,,,,,,
40,1597.132195,34.70479335,1607.965359,30.15564339,,,,,,,,
41,1596.059553,34.89906748,1607.608068,30.17316476,,,,,,,,
42,1595.713192,35.11390603,1607.512574,30.27393971,,,,,,,,
43,1595.487351,35.112812,1606.926667,30.81289315,,,,,,,,
44,1594.2335,35.33779407,1605.756696,31.19888137,,,,,,,,
45,1593.211667,35.58242447,1605.230123,31.33319667,,,,,,,,
46,1591.998957,35.60175784,1604.046626,31.3659068,,,,,,,,
47,1589.972078,36.38012568,1603.292672,31.70792634,,,,,,,,
48,1589.062369,36.41114781,1602.870871,31.88659885,,,,,,,,
49,1588.127183,36.25086886,1602.218346,32.03246672,,,,,,,,
50,1586.638002,36.45840077,1601.501063,32.47005387,,,,,,,,
