position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,
0,1092.666667,13.83333333,1096.398876,5.601123596,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
1,1092.293714,13.94145317,1095.583185,7.001127517,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
2,1092.065943,14.20073088,1095.537887,7.232754222,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
3,1091.294116,14.88235415,1095.53846,7.230774283,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
4,1091.294045,14.88240087,1095.499942,8.00019668,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
5,1090.749889,15.18761197,1095.28557,8.357424129,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
6,1090.529349,15.29417697,1095.428493,8.42871668,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
7,1090.07143,15.85714123,1095.285715,8.928570187,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
8,1089.8125,16.12499995,1095.285714,9.357143695,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
9,1089.058823,16.70588241,1095.230769,9.615384913,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
10,1088.941175,16.88235367,1095.249998,9.833336976,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
11,1088.941146,16.88236757,1095.08329,10.3334043,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
12,1088.062496,17.87500208,1094.666661,11.00000772,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
13,1088.294094,17.94119088,1094.499962,11.50005207,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
14,1087.999906,18.00006271,1094.499897,11.50013255,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
15,1087.647049,18.64706955,1094.388872,11.94446021,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
16,1087.500002,18.81249725,1094.117644,12.47059143,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
17,1087.499961,18.81252143,1093.799928,13.00008192,1126.161798,20.48539326,1096.792135,37.47191011,1114.626404,2.452247191,1131.053933,22.28764045,,,,
18,1087.315279,19.21085964,1093.646271,13.11858207,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
19,1086.882374,19.41174963,1093.187461,13.50003085,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
20,1086.588235,20.11761399,1092.799929,14.00010743,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
21,1086.199795,20.66690615,1092.532906,14.26706608,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
22,1085.785703,21.14286869,1091.937477,14.75002383,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
23,1085.333186,21.66680502,1091.461241,15.23110057,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
24,1085.399747,21.80013401,1091.142516,15.78621267,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
25,1084.890075,22.58135852,1090.993345,16.0109748,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
26,1084.812499,23.00000014,1090.785712,16.14286052,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
27,1084.470468,23.47065809,1090.230539,16.84650742,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
28,1083.999996,23.87500777,1090.187484,17.18751372,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
29,1084.000133,24.35275404,1089.687555,17.81247261,1126.161798,20.48539326,1190.275281,59.94382022,1114.626404,2.452247191,1131.053933,22.28764045,,,,
