position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,1078.065543071161,13.732209737827716,1075.8988764044943,6.398876404494384,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
1,1077.3890268937391,13.666981360980227,1075.50009550398,6.000663687971635,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
2,1077.7230324080617,14.003363545106849,1075.5018873645643,6.318399692037098,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
3,1078.0556190805023,14.277855610712676,1075.8000162657447,6.933541102692233,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
4,1078.05561842798,14.277854831964838,1075.8000161233076,6.9335390239689,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
5,1078.0590319784526,14.412027543828476,1075.93752416777,7.188057182841941,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
6,1078.5188507261996,15.296875252702796,1076.2168251349176,8.145385636186717,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
7,1078.5270889668652,15.316572889635802,1076.470501415199,8.178293029916237,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
8,1078.4587471722434,15.754044787857296,1076.510556483389,9.05856495113648,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
9,1078.611141311675,16.33340113835937,1076.6666982323545,9.13350304120816,1056.5936329588017,44.82958801498128,1042.4404494382024,27.869662921348315,1065.0134831460673,34.77078651685393,1040.9438202247186,41.323970037453186
