position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,1615.666667,46.11111111,1617.125,35.125,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
1,1615.165047,46.04641775,1616.618946,35.53250531,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
2,1614.749921,46.6668676,1616.624976,35.7087334,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
3,1614.239998,48.00000585,1616.624999,35.58334617,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
4,1613.999874,48.34810089,1616.416641,36.33379811,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
5,1613.749998,49.50000794,1616.439998,36.64001416,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
6,1613.72,49.92000034,1616.272727,37.13636452,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
7,1613.48148,50.48148723,1616.359998,37.44001188,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
8,1613.217391,51.13043479,1616.48,38.16000001,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
9,1613,52.25,1616.7,37.95,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
10,1612.64,53.12,1617,38.5,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
11,1612.653846,53.88461538,1616.904762,39.04761905,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
12,1612.16,54.88,1616.956522,39.34782609,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
13,1612,55.5,1616.954545,40.18181818,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
14,1611.535714,56.89285714,1617,40.5,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
15,1611,58.15384615,1616.73913,41.34782609,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
16,1610.875,58.5,1616.285714,42.19047619,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
17,1610.75,58.875,1616.086957,42.82608696,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
18,1610.666667,59.41666667,1615.958333,43.54166667,1697.88122,63.97431782,1736.5,49.88483146,1742.90824,21.88014981,1686.23736,48.51825843
