position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,
0,1602.055556,62.55555556,1585.947368,54.84210526,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
1,1598.684152,62.08607283,1583.225136,52.86400666,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
2,1599.460329,62.68781577,1584.238066,53.17907817,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
3,1600.020202,63.30006215,1584.673833,53.57172597,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
4,1600.699002,63.71792296,1585.464284,54.24409148,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
5,1601.644866,64.466787,1586.269894,54.80823414,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
6,1602.283032,65.04366072,1587.039984,55.47114617,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
7,1602.511755,65.80897543,1587.944158,56.32836409,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
8,1602.501127,66.12545338,1588.452707,56.60930442,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
9,1602.650039,66.79426931,1589.675813,57.53261705,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
10,1602.927484,67.10920565,1590.633843,58.32027843,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
11,1603.373967,67.72136939,1591.286346,58.50600217,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
12,1603.794821,68.37951253,1592.905996,59.29923815,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
13,1604.286284,68.96639525,1594.252733,59.76354362,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
14,1604.112477,69.53639414,1595.659658,60.42452101,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
