position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,1561.5,32.0,1557.785714,23.28571429,1695.186517,57.98801498,1681.963296,31.92659176,,,,
1,1563.611164,34.27783606,1558.666753,25.33353434,1695.186517,57.98801498,1681.963296,31.92659176,,,,
2,1564.266668,35.36666803,1558.793106,25.68965999,1695.186517,57.98801498,1681.963296,31.92659176,,,,
3,1564.702703,36.37837887,1558.827587,26.2413809,1695.186517,57.98801498,1681.963296,31.92659176,,,,
4,1565.125001,37.0937505,1559.040001,27.08000169,1695.186517,57.98801498,1681.963296,31.92659176,,,,
5,1565.437499,37.46874869,1559.142857,27.4999998,1695.186517,57.98801498,1681.963296,31.92659176,,,,
6,1566.090909,38.39393927,1559.566667,27.73333329,1695.186517,57.98801498,1681.963296,31.92659176,,,,
7,1566.605263,39.21052637,1560.096774,28.51612932,1695.186517,57.98801498,1681.963296,31.92659176,,,,
8,1566.969696,39.66666428,1560.60606,29.57575638,1695.186517,57.98801498,1681.963296,31.92659176,,,,
9,1567.666667,40.49999995,1560.933333,30.03333338,1695.186517,57.98801498,1681.963296,31.92659176,,,,
10,1567.777778,41.55555534,1561.483871,31.51612925,1695.186517,57.98801498,1681.963296,31.92659176,,,,
11,1568.2,42.48571468,1561.606061,32.12121347,1695.186517,57.98801498,1681.963296,31.92659176,,,,
12,1568.212121,43.27272713,1561.785714,32.60714294,1695.186517,57.98801498,1681.963296,31.92659176,,,,
13,1568.515151,43.36363605,1561.8,32.83333313,1695.186517,57.98801498,1681.963296,31.92659176,,,,
14,1568.548385,43.77419177,1562.382353,33.67646952,1695.186517,57.98801498,1681.963296,31.92659176,,,,
15,1568.709677,44.87096765,1562.548387,34.35483875,1695.186517,57.98801498,1681.963296,31.92659176,,,,
16,1568.862065,45.58620031,1562.969695,35.18181492,1695.186517,57.98801498,1681.963296,31.92659176,,,,
17,1568.749999,46.4374984,1563.2,35.83333229,1695.186517,57.98801498,1681.963296,31.92659176,,,,
18,1568.67737,46.90314585,1563.88234,36.99995293,1695.186517,57.98801498,1681.963296,31.92659176,,,,
19,1568.99993,47.48253974,1564.529343,37.52931253,1695.186517,57.98801498,1681.963296,31.92659176,,,,
20,1569.064434,48.48362349,1564.87089,38.29018157,1695.186517,57.98801498,1681.963296,31.92659176,,,,
21,1569.266506,49.53288567,1565.1211,38.69670193,1695.186517,57.98801498,1681.963296,31.92659176,,,,
