position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,1574.598315,18.34831461,1569.833333,10.16666667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
1,1573.304348,17.47826141,1569.909091,7.909091907,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
2,1573.478261,17.73913057,1570.5,8.80000035,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
3,1574.086965,18.13044795,1570.500007,9.000029016,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
4,1574.384249,18.53719312,1571.042898,9.650962799,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
5,1574.678577,18.78571977,1571.523811,9.761921136,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
6,1575.172722,19.3453258,1572.043678,10.39235752,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
7,1575.591022,19.66626475,1572.173344,10.8521553,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
8,1576.111141,20.0370808,1572.416693,11.25009332,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
9,1576.357656,20.10782635,1572.565608,11.47974017,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
10,1577.381344,20.89830245,1573.00071,12.24403327,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
11,1577.789625,21.3086271,1572.971702,12.82131803,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
12,1578.379435,21.62078476,1573.040082,13.08025314,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
13,1578.800654,22.13405632,1573.167484,13.66821923,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
14,1579.300018,22.83334879,1573.391323,13.95656515,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
15,1580.032357,23.32265195,1573.863739,14.90932109,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
16,1580.400246,23.56684979,1574.348073,15.47878172,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
17,1581.14291,24.21431372,1574.520035,15.76008841,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
18,1581.814815,24.66666669,1574.896552,15.86206901,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
19,1582,25.10344831,1575.185185,16.11111123,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
20,1582.592593,25.55555557,1575.36,16.52000005,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
21,1583.178571,26.35714287,1575.461538,16.92307698,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
22,1583.333333,26.4444445,1576.227273,17.81818202,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
23,1584.178571,27.21428573,1576.416667,18.00000004,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
24,1584.206897,27.34482759,1577,18.72000002,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
25,1585.172414,28.27586207,1577.115385,19.11538464,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
26,1585.655172,29.24137931,1577.666667,19.88888889,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
27,1586.5,30,1578.2,20.36666667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
28,1586.862069,30.44827586,1578.892857,20.96428571,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
29,1587.115385,31.11538462,1579.6,21.76666667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
30,1587.259259,32,1580.25,22.82142857,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
31,1587.517241,32.68965518,1580.5,23.00000001,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
32,1587.321429,32.96428571,1580.827586,23.44827586,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
33,1587.9,34.13333333,1581.107143,23.82142857,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
34,1587.928571,34.39285714,1581.3,24.2,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
35,1587.5,34.92857143,1582.1,25.16666667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
36,1587.103448,35.62068966,1582.272727,25.45454546,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
37,1586.500002,35.30769679,1583.000002,26.21875671,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
38,1585.956556,35.65231636,1583.103509,26.62085633,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
39,1585.500867,35.50320888,1583.267966,27.3047484,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
40,1585.096589,36.18842603,1583.484878,28.00619563,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
41,1584.991319,36.85372914,1583.927436,28.44627405,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
42,1584.208333,38.04166682,1584.115385,28.73076953,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
43,1583.863636,38.59091011,1584.074074,28.81481625,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
44,1583.333333,39.09523811,1584.043478,29.30434785,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
45,1582.571429,40,1583.931034,29.44827586,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
46,1582.086957,40.69565217,1584.125,30.04166667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
47,1581.571429,41.14285714,1584.375,30.54166667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
48,1581.083333,41.83333333,1585.076923,31.23076923,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
49,1580.863636,42.54545455,1585,31.5,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
50,1580.04,43.00000052,1585.08,32.60000084,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
51,1579.782609,43.52173913,1585.037037,32.92592593,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
52,1579,43.5,1585.111111,33.70370371,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
53,1578.68,43.56000001,1585.076923,33.84615387,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
54,1578.045455,44.09090909,1585.074074,34.51851852,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
55,1576.809524,44.85714286,1585.222222,34.88888889,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
56,1575.761905,45.61904762,1585.44,35.48,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
57,1575.25,45.58333333,1584.909091,36.5,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
58,1574.304348,45.56521739,1585,36.81818182,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
59,1574,45.45833333,1584.826087,37.60869565,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
60,1572.740741,45.48148148,1584.625,37.83333333,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
61,1572.44,45.68,1584.636364,38.18181818,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
62,1571.923077,45.73076923,1584.6,38.8,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
63,1571.035714,45.67857143,1584.458333,39.41666667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
64,1569.964286,45.78571429,1583.75,40.29166667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
65,1569.035714,45.89285714,1583.269231,40.46153846,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
66,1567.516129,45.90322581,1582.565217,40.86956522,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
67,1566.709677,45.80645161,1582.038462,41.07692308,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
68,1566.071429,45.78571429,1581.1,41.75,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
69,1565.071429,45.78571429,1579.958333,42.41666667,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
70,1564.892857,45.67857143,1579.25,42.58333333,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
71,1564.8,45.56,1579.115385,42.92307692,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
72,1564.48,45.36,1578.72,43.44,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
73,1564.48,45.36,1578.142857,43.82142857,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
74,1564.48,45.36,1577.458333,44.33333333,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
75,1564.24,45.2,1576.916667,44.375,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
76,1563.818182,45.31818182,1575.88,44.96,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
77,1563.956522,45.34782609,1575.555556,45.03703704,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
78,1563.75,45.33333333,1575.555556,45.03703704,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
