position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,1100.398876,20.29775281,1097.898876,11,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
1,1099.421053,19.57894714,1096.875,10.37499989,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
2,1099.888889,20.61111111,1097,10.6875,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
3,1099.888889,20.61111083,1097,11.31578937,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
4,1099.999999,21.36841871,1096.95,11.8499989,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
5,1100.15,21.7999993,1097.055556,12.2222219,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
6,1100.25,22.09999999,1097.058824,12.64705882,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
7,1100.5,22.99999916,1097.2,13.39999958,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
8,1100.61111,23.33333129,1097.357143,13.92857016,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
9,1100.5,23.9999994,1097.5,14.49999965,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
10,1100.42101,23.99989677,1097.733328,15.13327088,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
11,1100.294117,24.64705654,1097.615384,15.61538355,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
12,1100.222222,24.7222188,1097.749999,15.99999886,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
13,1099.947338,24.7893823,1097.733328,16.39994837,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
14,1099.649982,24.89993521,1097.624995,16.24996279,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
15,1099.198991,25.19573083,1097.764557,17.17442704,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
16,1098.941134,25.35268575,1097.764692,17.1763397,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
17,1098.812493,25.56244888,1097.83333,18.11108568,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
18,1098.337313,25.58251075,1097.930166,18.35646627,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
19,1098.049337,25.93890427,1097.998531,18.53806345,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
20,1097.927582,25.94217156,1098.013566,19.00134801,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
21,1097.629974,26.21343974,1098.187431,19.35333439,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
22,1096.813746,27.09315539,1098.380036,19.50085621,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
23,1096.697535,27.46056654,1098.190659,20.03633195,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
24,1096.236076,27.7624103,1098.000068,20.49873756,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
25,1095.990402,27.68262362,1097.98953,20.53609728,1167.016854,57.85393258,1169.743446,51.32397004,1176.702247,46.06741573,1189.58427,33.66853933
