position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,,
0,1588.919743,37.06260032,1586.711951,25.09090909,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
1,1586.600533,36.07755874,1585.140963,25.93125671,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
2,1586.621157,36.51832193,1585.055577,26.39215986,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
3,1586.548752,36.93935268,1584.896804,27.00968823,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
4,1586.392869,37.53584402,1584.888958,27.55592873,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
5,1585.925818,38.08202533,1584.989107,28.84913528,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
6,1585.813982,38.97058805,1585.219711,28.88338928,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
7,1585.481727,39.14870506,1585.291429,29.08470967,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
8,1585.393476,39.21588441,1585.159437,29.40367376,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
9,1584.653851,40.73083167,1585.076911,29.53858643,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
10,1584.249999,41.53571696,1584.772728,30.09091671,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
11,1583.913039,42.00003033,1584.608695,30.34788412,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
12,1583.44,43.04000036,1584.173913,30.73913122,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
13,1583.347826,43.39130435,1584.166667,30.87500001,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
14,1582.758621,45.03448276,1583.761905,31.38095239,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
15,1582.333333,46.5,1583.619048,31.71428571,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
16,1582.44,46.76,1583.666667,32.19047619,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
17,1582.217391,47.65217391,1583.333333,32.90476191,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
18,1581.826087,48.69565217,1583.315789,32.89473684,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
19,1581.62963,49.37037037,1583.347826,33.73913043,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
20,1581.5,49.5,1583.041667,34.45833333,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
21,1581.12,50.24,1582.565217,35.52173913,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
22,1580.958333,50.625,1582.608696,35.39130435,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
23,1580.730769,50.57692308,1582.458333,36.33333333,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
24,1580.73913,50.65217391,1582.791667,36.70833333,1729.921348,49.78651685,1640.057584,34.47331461,1684.900281,27.625,1681.230337,19.97003745,1751.342697,40.04494382,,
