Leader,Follower,Time,Colony,ColonySize,Date
XXO,B-X,14.04,DI-361,202,9.4.2014
XGX,B-B,14.04,DI-361,202,9.4.2014
YYX,YY-,14.04,DI-361,202,9.4.2014
 --O,WXX,14.04,DI-361,202,9.4.2014
YYX,YSY,14.05,DI-361,202,9.4.2014
 --O,W--,14.05,DI-361,202,9.4.2014
O--, -OO,14.05,DI-361,202,9.4.2014
XGX, -SY,14.05,DI-361,202,9.4.2014
 --O,SSS,14.05,DI-361,202,9.4.2014
XGX,Y-B,14.06,DI-361,202,9.4.2014
 --O,SB-,14.06,DI-361,202,9.4.2014
 -Y-,YS-,14.06,DI-361,202,9.4.2014
B-B, -XY,14.06,DI-361,202,9.4.2014
XGX,SYS,14.06,DI-361,202,9.4.2014
 -Y-, -BG,14.06,DI-361,202,9.4.2014
 --O,S-O,14.06,DI-361,202,9.4.2014
W--,O-X,14.07,DI-361,202,9.4.2014
B-B,SS-,14.07,DI-361,202,9.4.2014
YYX, -YS,14.07,DI-361,202,9.4.2014
O--,S-B,14.07,DI-361,202,9.4.2014
 -Y-, -WS,14.07,DI-361,202,9.4.2014
B-B,SSW,14.07,DI-361,202,9.4.2014
XGX,XO-,14.07,DI-361,202,9.4.2014
B-B,SO-,14.08,DI-361,202,9.4.2014
 -Y-,SBB,14.08,DI-361,202,9.4.2014
B--,BS-,14.08,DI-361,202,9.4.2014
B-B,X-G,14.08,DI-361,202,9.4.2014
SXX,X-X,14.08,DI-361,202,9.4.2014
 -Y-,X-O,14.08,DI-361,202,9.4.2014
B-B, --S,14.09,DI-361,202,9.4.2014
SXX,O-S,14.09,DI-361,202,9.4.2014
W--, -WX,14.09,DI-361,202,9.4.2014
 -Y-,SYY,14.09,DI-361,202,9.4.2014
W--, --R,14.09,DI-361,202,9.4.2014
 -WW, -BS,14.09,DI-361,202,9.4.2014
B-B,XY-,14.1,DI-361,202,9.4.2014
W--,WSS,14.1,DI-361,202,9.4.2014
 -W-,BYB,14.1,DI-361,202,9.4.2014
B-B,X-B,14.1,DI-361,202,9.4.2014
XYY, -YX,14.1,DI-361,202,9.4.2014
 -Y-,SY-,14.1,DI-361,202,9.4.2014
W--,B-G,14.11,DI-361,202,9.4.2014
B-B,OX-,14.11,DI-361,202,9.4.2014
B-B,SSG,14.11,DI-361,202,9.4.2014
W--,Y--,14.11,DI-361,202,9.4.2014
B-B,XSX,14.12,DI-361,202,9.4.2014
YSY,WX-,14.12,DI-361,202,9.4.2014
 --O,W-X,14.12,DI-361,202,9.4.2014
YYX, -OS,14.13,DI-361,202,9.4.2014
 -Y-,XOX,14.13,DI-361,202,9.4.2014
B-B, -SB,14.13,DI-361,202,9.4.2014
SXX,SOS,14.13,DI-361,202,9.4.2014
XYY,BX-,14.13,DI-361,202,9.4.2014
YYX, -W-,14.14,DI-361,202,9.4.2014
B-B, -GB,14.15,DI-361,202,9.4.2014
B-B,GS-,14.16,DI-361,202,9.4.2014
 --O, -BX,14.16,DI-361,202,9.4.2014
W--, -OX,14.2,DI-361,202,9.4.2014
W--,XXY,14.22,DI-361,202,9.4.2014
B-B, -YY,14.23,DI-361,202,9.4.2014
W--, --B,14.23,DI-361,202,9.4.2014
W--,GGB,14.23,DI-361,202,9.4.2014
XGX,GSS,14.23,DI-361,202,9.4.2014
X-O,G-G,14.24,DI-361,202,9.4.2014
B-B,X-S,14.24,DI-361,202,9.4.2014
XGX,YYS,14.24,DI-361,202,9.4.2014
XGX, -O-,14.25,DI-361,202,9.4.2014
B-B, -SS,14.25,DI-361,202,9.4.2014
B-B,XBB,14.25,DI-361,202,9.4.2014
XGX,XW-,14.26,DI-361,202,9.4.2014
B-B,SG-,14.26,DI-361,202,9.4.2014
B-B,XX-,14.27,DI-361,202,9.4.2014
XGX,BBS,14.27,DI-361,202,9.4.2014
SXX,SSB,14.28,DI-361,202,9.4.2014
X-S,SG-,14.28,DI-361,202,9.4.2014
XGX,GB-,14.28,DI-361,202,9.4.2014
XGX,OS-,14.29,DI-361,202,9.4.2014
B-B,SWW,14.31,DI-361,202,9.4.2014
B-B,XOO,14.33,DI-361,202,9.4.2014
B-B, -XS,14.33,DI-361,202,9.4.2014
B-B,WSW,14.38,DI-361,202,9.4.2014
B--,GSG,14.5,DI-361,202,9.4.2014
B--, --Y,14.51,DI-361,202,9.4.2014
B--,W-W,14.52,DI-361,202,9.4.2014
B--,WWS,14.52,DI-361,202,9.4.2014
B--, -BY,14.53,DI-361,202,9.4.2014
B--,X-S,14.54,DI-361,202,9.4.2014
B--,SWS,14.55,DI-361,202,9.4.2014
B--,OXX,14.55,DI-361,202,9.4.2014
B--,WWW,14.56,DI-361,202,9.4.2014
W--,OXO,15,DI-361,202,9.4.2014
OXX,OSS,15.01,DI-361,202,9.4.2014
OXX,YXX,15.01,DI-361,202,9.4.2014
OXX,BBX,15.02,DI-361,202,9.4.2014
OXX,WXW,15.03,DI-361,202,9.4.2014
OXX,Y-X,15.03,DI-361,202,9.4.2014
OXX,B-S,15.05,DI-361,202,9.4.2014
OXX,SXS,15.06,DI-361,202,9.4.2014
OXX,SSY,15.06,DI-361,202,9.4.2014
OXX,B-Y,15.07,DI-361,202,9.4.2014
OXX, --X,15.09,DI-361,202,9.4.2014
OXX, -XG,15.1,DI-361,202,9.4.2014
SXX, -GG,15.3,DI-361,202,9.4.2014
SXX,GSG,15.31,DI-361,202,9.4.2014
SXX,B-B,15.31,DI-361,202,9.4.2014
SXX,YB-,15.32,DI-361,202,9.4.2014
B-B,S-X,8.05,DI-362,105,10.4.2014
B-B,BBX,8.1,DI-362,105,10.4.2014
S-X,YX-,8.1,DI-362,105,10.4.2014
B-B, -G-,8.11,DI-362,105,10.4.2014
S-X,BB-,8.11,DI-362,105,10.4.2014
B-B,X-Y,8.12,DI-362,105,10.4.2014
 -SX,YX-,8.12,DI-362,105,10.4.2014
XX-, -SS,8.13,DI-362,105,10.4.2014
XXB, -GX,8.14,DI-362,105,10.4.2014
XXB,XB-,8.14,DI-362,105,10.4.2014
S-X,GXX,8.15,DI-362,105,10.4.2014
SSS, --R,8.16,DI-362,105,10.4.2014
 -S-,XY-,8.16,DI-362,105,10.4.2014
S-X, -GG,8.16,DI-362,105,10.4.2014
S-X,XO-,8.17,DI-362,105,10.4.2014
SSS,WW-,8.17,DI-362,105,10.4.2014
B-B,YXX,8.17,DI-362,105,10.4.2014
B-B,Y--,8.17,DI-362,105,10.4.2014
SSS, -XX,8.17,DI-362,105,10.4.2014
 -S-, --X,8.17,DI-362,105,10.4.2014
XX-,X-G,8.17,DI-362,105,10.4.2014
SSS,XBB,8.18,DI-362,105,10.4.2014
 -S-,BX-,8.18,DI-362,105,10.4.2014
SSS,OO-,8.18,DI-362,105,10.4.2014
B-B,BBB,8.18,DI-362,105,10.4.2014
XXB,X-B,8.18,DI-362,105,10.4.2014
 -S-,SXS,8.18,DI-362,105,10.4.2014
XXB,SX-,8.19,DI-362,105,10.4.2014
B-B, --G,8.19,DI-362,105,10.4.2014
SSS,YXY,8.19,DI-362,105,10.4.2014
XXS,X-O,8.19,DI-362,105,10.4.2014
SSS, -XS,8.19,DI-362,105,10.4.2014
XXS,X-S,8.19,DI-362,105,10.4.2014
 -S-,BXX,8.19,DI-362,105,10.4.2014
SSS,Y-X,8.2,DI-362,105,10.4.2014
XXS,OX-,8.2,DI-362,105,10.4.2014
XS-,XYY,8.2,DI-362,105,10.4.2014
XG-,SX-,8.2,DI-362,105,10.4.2014
B-B, -O-,8.2,DI-362,105,10.4.2014
XXB,GG-,8.2,DI-362,105,10.4.2014
SSS, --Y,8.2,DI-362,105,10.4.2014
XXS,SS-,8.2,DI-362,105,10.4.2014
XXS,XOO,8.2,DI-362,105,10.4.2014
SSS,YYX,8.21,DI-362,105,10.4.2014
XXS,B-X,8.21,DI-362,105,10.4.2014
B-B,XSX,8.21,DI-362,105,10.4.2014
XXB,XOX,8.21,DI-362,105,10.4.2014
XXS,XXY,8.22,DI-362,105,10.4.2014
B-B,O--,8.22,DI-362,105,10.4.2014
XXB,GXX,8.22,DI-362,105,10.4.2014
XXS,XGG,8.22,DI-362,105,10.4.2014
B-B,Y-Y,8.22,DI-362,105,10.4.2014
 -SX,X-S,8.22,DI-362,105,10.4.2014
SSS,XBX,8.22,DI-362,105,10.4.2014
XXS,G-X,8.23,DI-362,105,10.4.2014
 -XX,GGG,8.23,DI-362,105,10.4.2014
B-B, -OO,8.23,DI-362,105,10.4.2014
B-B,XXG,8.23,DI-362,105,10.4.2014
YXX,YYY,8.23,DI-362,105,10.4.2014
XXS,W-W,8.23,DI-362,105,10.4.2014
 -SX,O--,8.23,DI-362,105,10.4.2014
XXS,WWW,8.23,DI-362,105,10.4.2014
B-B,XB-,8.24,DI-362,105,10.4.2014
XXS,OO-,8.24,DI-362,105,10.4.2014
 -SX,G--,8.24,DI-362,105,10.4.2014
XBX,XYX,8.24,DI-362,105,10.4.2014
XXB,XGX,8.24,DI-362,105,10.4.2014
XXS,G-G,8.24,DI-362,105,10.4.2014
XXS,XXO,8.25,DI-362,105,10.4.2014
 -SX, -BX,8.25,DI-362,105,10.4.2014
S-S, -XG,8.26,DI-362,105,10.4.2014
SSS, --O,8.27,DI-362,105,10.4.2014
S-S, -YX,8.27,DI-362,105,10.4.2014
XXS,B-B,8.27,DI-362,105,10.4.2014
XG-,BX-,8.27,DI-362,105,10.4.2014
S-S, -BB,8.27,DI-362,105,10.4.2014
S-S, -W-,8.27,DI-362,105,10.4.2014
XS-, --S,8.29,DI-362,105,10.4.2014
S-S,OO-,8.29,DI-362,105,10.4.2014
S-S,X--,8.29,DI-362,105,10.4.2014
XXS,YXX,8.29,DI-362,105,10.4.2014
S-S, -Y-,8.3,DI-362,105,10.4.2014
XS-,OOO,8.31,DI-362,105,10.4.2014
SSS,XB-,8.32,DI-362,105,10.4.2014
XXS,YXX,8.33,DI-362,105,10.4.2014
S-S, -XY,8.34,DI-362,105,10.4.2014
S-X, -B-,8.35,DI-362,105,10.4.2014
XXS,XGX,8.35,DI-362,105,10.4.2014
B-B,GXG,8.36,DI-362,105,10.4.2014
B--,SSX,8.36,DI-362,105,10.4.2014
B-B,XGX,8.37,DI-362,105,10.4.2014
S-S,W--,8.37,DI-362,105,10.4.2014
 --B,XB-,8.39,DI-362,105,10.4.2014
BX-, -S-,8.4,DI-362,105,10.4.2014
 --B,X-B,8.4,DI-362,105,10.4.2014
XXS,B-B,8.41,DI-362,105,10.4.2014
B--,XB-,8.47,DI-362,105,10.4.2014
B--, -X-,9.14,DI-362,105,10.4.2014
S-S,X-S,14.57,DI-364,110,16.4.2014
S-S,XXB,14.59,DI-364,110,16.4.2014
S-S, -XB,14.59,DI-364,110,16.4.2014
X-S,XXG,15.01,DI-364,110,16.4.2014
S-S,GX-,15.01,DI-364,110,16.4.2014
S-S,XSX,15.02,DI-364,110,16.4.2014
S-S,XX-,15.02,DI-364,110,16.4.2014
S-S, --S,15.03,DI-364,110,16.4.2014
S-S,GX-,15.03,DI-364,110,16.4.2014
XXB,W--,15.03,DI-364,110,16.4.2014
XXB,SS-,15.04,DI-364,110,16.4.2014
XXB,XO-,15.05,DI-364,110,16.4.2014
XXB,SS-,15.06,DI-364,110,16.4.2014
XXB,S-S,15.06,DI-364,110,16.4.2014
XXB,XXG,15.07,DI-364,110,16.4.2014
XXB,OOX,15.07,DI-364,110,16.4.2014
XXB,BX-,15.08,DI-364,110,16.4.2014
XX-,SSX,15.08,DI-364,110,16.4.2014
S-S,B--,15.13,DI-364,110,16.4.2014
XX-,G-X,15.15,DI-364,110,16.4.2014
XX-,GXX,15.16,DI-364,110,16.4.2014
S-S,W-W,15.18,DI-364,110,16.4.2014
X-B,XOX,15.19,DI-364,110,16.4.2014
S-S,OXX,15.21,DI-364,110,16.4.2014
X-B,XBB,15.22,DI-364,110,16.4.2014
S-S, --O,15.23,DI-364,110,16.4.2014
X-B,XXX,15.25,DI-364,110,16.4.2014
 --B,XGX,15.26,DI-364,110,16.4.2014
 --B, --R,15.26,DI-364,110,16.4.2014
 --B,G--,15.27,DI-364,110,16.4.2014
 --B,G-G,15.27,DI-364,110,16.4.2014
G--,XX-,15.28,DI-364,110,16.4.2014
 --B, -GX,15.28,DI-364,110,16.4.2014
 --B,OOO,15.29,DI-364,110,16.4.2014
 --B,YYY,15.3,DI-364,110,16.4.2014
S-S, -YX,15.3,DI-364,110,16.4.2014
 --B, --W,15.3,DI-364,110,16.4.2014
 --B, -XG,15.33,DI-364,110,16.4.2014
G--,B-X,15.34,DI-364,110,16.4.2014
 --B,YXX,15.34,DI-364,110,16.4.2014
S-S,X--,15.35,DI-364,110,16.4.2014
 --B,XG-,15.36,DI-364,110,16.4.2014
X-B, -SX,15.36,DI-364,110,16.4.2014
G--,Y-X,15.36,DI-364,110,16.4.2014
 --B,XXB,15.37,DI-364,110,16.4.2014
X-B,O-X,15.37,DI-364,110,16.4.2014
GG-,O--,15.38,DI-364,110,16.4.2014
S-S,XOO,15.38,DI-364,110,16.4.2014
 --B,S--,15.39,DI-364,110,16.4.2014
S-S,YX-,15.39,DI-364,110,16.4.2014
 --B,GGX,15.41,DI-364,110,16.4.2014
S--, -X-,15.42,DI-364,110,16.4.2014
S--,XS-,15.43,DI-364,110,16.4.2014
S-S,XSS,15.45,DI-364,110,16.4.2014
S-S, -XX,15.5,DI-364,110,16.4.2014
 --B, -OX,15.5,DI-364,110,16.4.2014
XS-,X-X,15.51,DI-364,110,16.4.2014
XS-,XX-,15.52,DI-364,110,16.4.2014
XS-, -W-,15.53,DI-364,110,16.4.2014
 --B,X-G,15.53,DI-364,110,16.4.2014
XX-,B--,15.55,DI-364,110,16.4.2014
XX-,SXS,15.56,DI-364,110,16.4.2014
GG-, -XO,15.56,DI-364,110,16.4.2014
GG-,WW-,15.56,DI-364,110,16.4.2014
 -XX,XXS,15.56,DI-364,110,16.4.2014
S-S,X-Y,16.11,DI-364,110,16.4.2014
S-S,BXX,16.12,DI-364,110,16.4.2014
S-S,YX-,16.18,DI-364,110,16.4.2014
S-S, --Y,16.18,DI-364,110,16.4.2014
S-S,OX-,16.19,DI-364,110,16.4.2014
S-S,OXO,16.2,DI-364,110,16.4.2014
S-S,XBX,16.2,DI-364,110,16.4.2014
S-S,XB-,16.21,DI-364,110,16.4.2014
XS-,OO-,16.31,DI-364,110,16.4.2014
XS-,BB-,16.32,DI-364,110,16.4.2014
 --Y,SXX,16.32,DI-364,110,16.4.2014
XS-, -O-,16.33,DI-364,110,16.4.2014
O-O,G-S,9.01,DI-368,156,23.4.2014
Y--,XXB,9.31,DI-368,156,23.4.2014
XSX,OOX,9.35,DI-368,156,23.4.2014
XSX,BBB,9.36,DI-368,156,23.4.2014
XSX,XYX,9.37,DI-368,156,23.4.2014
XSX, -OX,9.37,DI-368,156,23.4.2014
XSX,BXB,9.38,DI-368,156,23.4.2014
XSX,XXG,9.39,DI-368,156,23.4.2014
XSX,XG-,9.39,DI-368,156,23.4.2014
 -XX, -YX,9.4,DI-368,156,23.4.2014
G-G, -GG,9.41,DI-368,156,23.4.2014
O-O,S--,9.41,DI-368,156,23.4.2014
 --O,X-S,9.42,DI-368,156,23.4.2014
XSX,SY-,9.45,DI-368,156,23.4.2014
XSX,W-X,9.45,DI-368,156,23.4.2014
G-G,BBX,9.46,DI-368,156,23.4.2014
G-G,BSB,9.47,DI-368,156,23.4.2014
XSX ,GXX,9.48,DI-368,156,23.4.2014
 -XX,XXO,9.49,DI-368,156,23.4.2014
G-G,S-B,9.49,DI-368,156,23.4.2014
 -XX, -S-,9.49,DI-368,156,23.4.2014
G-G,YXX,9.5,DI-368,156,23.4.2014
 -XX,XW-,9.5,DI-368,156,23.4.2014
O-O,XBB,9.52,DI-368,156,23.4.2014
G-G, --X,9.52,DI-368,156,23.4.2014
XSX,X-O,9.52,DI-368,156,23.4.2014
XSX,SSS,9.54,DI-368,156,23.4.2014
 -XX, --R,9.54,DI-368,156,23.4.2014
XSX, -G-,9.55,DI-368,156,23.4.2014
O-O,BS-,9.56,DI-368,156,23.4.2014
O-O,Y-Y,9.57,DI-368,156,23.4.2014
XSX,OX-,9.57,DI-368,156,23.4.2014
O-O, -BX,9.58,DI-368,156,23.4.2014
XSX,S-Y,10.02,DI-368,156,23.4.2014
XSX, -GS,10.08,DI-368,156,23.4.2014
XSX,GXG,10.09,DI-368,156,23.4.2014
O-O,X-X,10.1,DI-368,156,23.4.2014
 -XX,BBX,10.1,DI-368,156,23.4.2014
XSX,XSS,10.11,DI-368,156,23.4.2014
XSX,SXX,10.14,DI-368,156,23.4.2014
 --S,XO-,10.16,DI-368,156,23.4.2014
 -XX, -B-,10.18,DI-368,156,23.4.2014
 --S,GX-,10.18,DI-368,156,23.4.2014
 --S, -XB,10.2,DI-368,156,23.4.2014
 --S, -XY,10.23,DI-368,156,23.4.2014
SSS,SSB,10.24,DI-368,156,23.4.2014
SSS,GGS,10.27,DI-368,156,23.4.2014
SSS,SYY,10.28,DI-368,156,23.4.2014
SSS,WXW,10.31,DI-368,156,23.4.2014
SSS,XBX,10.32,DI-368,156,23.4.2014
SSS,SY-,10.34,DI-368,156,23.4.2014
SSS,SSG,10.35,DI-368,156,23.4.2014
 --S, -SY,10.36,DI-368,156,23.4.2014
 --G,GSS,10.36,DI-368,156,23.4.2014
GG-,BX-,10.37,DI-368,156,23.4.2014
 --G, -YS,10.38,DI-368,156,23.4.2014
G-S,X-Y,10.4,DI-368,156,23.4.2014
G-S,SSY,10.44,DI-368,156,23.4.2014
 --G, -XO,10.44,DI-368,156,23.4.2014
 --G, -XS,10.48,DI-368,156,23.4.2014
G-S,SSX,10.48,DI-368,156,23.4.2014
 --G,S-G,10.49,DI-368,156,23.4.2014
 --S,GXG,10.5,DI-368,156,23.4.2014
G-S,YS-,10.51,DI-368,156,23.4.2014
G-S,Y--,10.52,DI-368,156,23.4.2014
 --S,SYS,10.53,DI-368,156,23.4.2014
GG-, -X-,10.58,DI-368,156,23.4.2014
GG-,B--,11.02,DI-368,156,23.4.2014
BBB,S-S,11.05,DI-368,156,23.4.2014
BBB, -XW,11.17,DI-368,156,23.4.2014
BBB,G--,11.27,DI-368,156,23.4.2014
 --G,XWX,13.52,DI-381,119,29.5.2014
 --G, -OO,13.54,DI-381,119,29.5.2014
 --G,XYX,13.54,DI-381,119,29.5.2014
 -O-,XXO,13.55,DI-381,119,29.5.2014
 --G,B--,13.55,DI-381,119,29.5.2014
 -O-, -XB,13.55,DI-381,119,29.5.2014
 -G-, -XS,13.56,DI-381,119,29.5.2014
 -O-,X-G,13.56,DI-381,119,29.5.2014
 -SS, -GG,13.56,DI-381,119,29.5.2014
 --G,BX-,13.56,DI-381,119,29.5.2014
 -G-,OXX,13.56,DI-381,119,29.5.2014
 -O-, -Y-,13.57,DI-381,119,29.5.2014
 -G-,GGG,13.57,DI-381,119,29.5.2014
 -SS,XWW,13.58,DI-381,119,29.5.2014
GG-, -YY,13.58,DI-381,119,29.5.2014
 -O-,YY-,13.59,DI-381,119,29.5.2014
 -O-,XOO,13.59,DI-381,119,29.5.2014
S-S, --B,14,DI-381,119,29.5.2014
 -GG, -S-,14.01,DI-381,119,29.5.2014
S-S,B-B,14.01,DI-381,119,29.5.2014
 -SS,WWW,14.02,DI-381,119,29.5.2014
 --G,X-X,14.02,DI-381,119,29.5.2014
 --G,Y--,14.03,DI-381,119,29.5.2014
S-S, -BX,14.04,DI-381,119,29.5.2014
 -SS, -GX,14.04,DI-381,119,29.5.2014
 -O-,GX-,14.04,DI-381,119,29.5.2014
S-S,GGG,14.04,DI-381,119,29.5.2014
 --X,YXX,14.05,DI-381,119,29.5.2014
B-B,B-X,14.05,DI-381,119,29.5.2014
 -SS, --O,14.06,DI-381,119,29.5.2014
S-S,YXY,14.06,DI-381,119,29.5.2014
B-B,GXX,14.06,DI-381,119,29.5.2014
YY-,GGX,14.06,DI-381,119,29.5.2014
YY-, -XO,14.08,DI-381,119,29.5.2014
 -O-,SSS,14.08,DI-381,119,29.5.2014
S-S, -XY,14.08,DI-381,119,29.5.2014
B-B,W-W,14.08,DI-381,119,29.5.2014
YY-,G-G,14.09,DI-381,119,29.5.2014
 -O-, -WW,14.09,DI-381,119,29.5.2014
B-B,OX-,14.09,DI-381,119,29.5.2014
 -SS,BBB,14.09,DI-381,119,29.5.2014
 --G,SXX,14.09,DI-381,119,29.5.2014
YY-,XSS,14.1,DI-381,119,29.5.2014
S-S,OXO,14.1,DI-381,119,29.5.2014
B-B, -WX,14.1,DI-381,119,29.5.2014
YY-,XB-,14.11,DI-381,119,29.5.2014
B--,X-O,14.11,DI-381,119,29.5.2014
 --G,XOX,14.11,DI-381,119,29.5.2014
B-B,SX-,14.11,DI-381,119,29.5.2014
S-S,XBB,14.12,DI-381,119,29.5.2014
 -SS, --W,14.12,DI-381,119,29.5.2014
YY-,O-O,14.12,DI-381,119,29.5.2014
B--,O-X,14.13,DI-381,119,29.5.2014
B-B, -W-,14.14,DI-381,119,29.5.2014
B--, -X-,14.15,DI-381,119,29.5.2014
YY-,W--,14.15,DI-381,119,29.5.2014
 --G,XXX,14.15,DI-381,119,29.5.2014
B-B,BXB,14.15,DI-381,119,29.5.2014
B--,XXW,14.16,DI-381,119,29.5.2014
 -SS,XYY,14.16,DI-381,119,29.5.2014
S-S,OOO,14.16,DI-381,119,29.5.2014
B--,X-B,14.17,DI-381,119,29.5.2014
S--, --R,14.18,DI-381,119,29.5.2014
YY-,G-X,14.18,DI-381,119,29.5.2014
B-B,XXY,14.18,DI-381,119,29.5.2014
 --G,XGG,14.18,DI-381,119,29.5.2014
 -XX,XW-,14.19,DI-381,119,29.5.2014
XY-,GXG,14.19,DI-381,119,29.5.2014
SSS, -OX,14.19,DI-381,119,29.5.2014
B-B,XG-,14.2,DI-381,119,29.5.2014
S-S,XXG,14.2,DI-381,119,29.5.2014
YY-,XS-,14.2,DI-381,119,29.5.2014
 -SS, -BB,14.2,DI-381,119,29.5.2014
 --G,W-X,14.21,DI-381,119,29.5.2014
S--, -SX,14.21,DI-381,119,29.5.2014
SSS,X-Y,14.21,DI-381,119,29.5.2014
 -G-,YX-,14.21,DI-381,119,29.5.2014
B-B,OOX,14.22,DI-381,119,29.5.2014
YY-,XXB,14.23,DI-381,119,29.5.2014
XY-,XXS,14.23,DI-381,119,29.5.2014
 --B,X-S,14.23,DI-381,119,29.5.2014
 -XX, -XG,14.24,DI-381,119,29.5.2014
YY-,XGX,14.24,DI-381,119,29.5.2014
B--, -GG,14.25,DI-381,119,29.5.2014
 --B,OO-,14.26,DI-381,119,29.5.2014
 -X-,O-O,11.4,DI-382,73,30.5.2014
 -X-,G--,11.42,DI-382,73,30.5.2014
 -X-,X-B,11.44,DI-382,73,30.5.2014
 -X-,OO-,11.48,DI-382,73,30.5.2014
 -X-, -Y-,11.5,DI-382,73,30.5.2014
 -X-,SSS,11.51,DI-382,73,30.5.2014
 -X-, -S-,11.54,DI-382,73,30.5.2014
 -X-, --O,11.56,DI-382,73,30.5.2014
 -X-,SS-,11.57,DI-382,73,30.5.2014
 -X-, -OO,11.57,DI-382,73,30.5.2014
 -X-,YY-,11.58,DI-382,73,30.5.2014
 -X-, --R,12.01,DI-382,73,30.5.2014
OOO,SXX,12.01,DI-382,73,30.5.2014
OOO,O--,12.02,DI-382,73,30.5.2014
OOO, -Y-,12.02,DI-382,73,30.5.2014
OOO,X-S,12.03,DI-382,73,30.5.2014
 -XS,XXS,12.04,DI-382,73,30.5.2014
OOO, --S,12.04,DI-382,73,30.5.2014
 -B-,W--,12.04,DI-382,73,30.5.2014
 -XS, -WW,12.05,DI-382,73,30.5.2014
 -X-,S-S,12.05,DI-382,73,30.5.2014
SX-,B-X,12.06,DI-382,73,30.5.2014
 -B-, --X,12.06,DI-382,73,30.5.2014
 -XS,WWW,12.06,DI-382,73,30.5.2014
 -B-,SSX,12.06,DI-382,73,30.5.2014
 -XS,XS-,12.06,DI-382,73,30.5.2014
 -XS, -XX,12.07,DI-382,73,30.5.2014
 -B-,SSS,12.07,DI-382,73,30.5.2014
 -Y-, -O-,12.07,DI-382,73,30.5.2014
 -XS, -G-,12.07,DI-382,73,30.5.2014
 -X-,W-W,12.07,DI-382,73,30.5.2014
 -SS,G-G,12.08,DI-382,73,30.5.2014
 -X-,S-X,12.08,DI-382,73,30.5.2014
 -Y-, -W-,12.08,DI-382,73,30.5.2014
 -XS,B--,12.09,DI-382,73,30.5.2014
 --S, --W,12.09,DI-382,73,30.5.2014
 -X-,Y--,12.09,DI-382,73,30.5.2014
 -XS,XXB,12.09,DI-382,73,30.5.2014
SX-,BBX,12.1,DI-382,73,30.5.2014
 -B-,XB-,12.1,DI-382,73,30.5.2014
 -XS, -XB,12.11,DI-382,73,30.5.2014
SX-, -BX,12.12,DI-382,73,30.5.2014
 -B-, -BB,12.12,DI-382,73,30.5.2014
 -Y-,BX-,12.13,DI-382,73,30.5.2014
 --B,X--,12.13,DI-382,73,30.5.2014
 -XS, -Y-,12.14,DI-382,73,30.5.2014
 --X,B-X,12.18,DI-382,73,30.5.2014
