Colony Treatment Time Ant Behavior LocationOrigin SourceDestination
6 3 0:00:00 OldUncoded Open old 
6 3 0:35:45 *W**1 E mediocre 
6 3 0:36:47 WGOW E good 
6 3 0:37:09 **** E mediocre 
6 3 0:37:36 *W**1 L mediocre 
6 3 0:38:13 OO**1 E mediocre 
6 3 0:38:25 **** L mediocre 
6 3 0:40:56 OO**1 L mediocre 
6 3 1:09:31 WGG* E mediocre 
6 3 1:10:15 WGG* L mediocre 
6 3 1:10:29 PYO* E mediocre 
6 3 1:12:07 PYO* L mediocre 
6 3 1:31:37 PB** E mediocre 
6 3 1:34:15 WGOW L good 
6 3 1:43:12 PB** L mediocre 
6 3 1:46:00 WGOW E good 
6 3 1:48:55 WGOW L good 
6 3 1:57:39 PYGL E mediocre 
6 3 1:58:03 PYGL L mediocre 
6 3 1:58:35 WGOW E mediocre 
6 3 1:58:59 **WW E mediocre 
6 3 2:00:27 WGOW L mediocre 
6 3 2:01:00 **WW L mediocre 
6 3 2:01:44 **WW E mediocre 
6 3 2:04:21 P*Y* BC good old?
6 3 2:04:21 WOo*1 TA good old?
6 3 2:04:30 **WW L mediocre 
6 3 2:09:36 WOo*1 L good 
6 3 2:11:24 P*Y* L good 
6 3 2:14:54 WGOW E good 
6 3 2:16:12 LO*Y E mediocre 
6 3 2:16:21 WGOW L good 
6 3 2:18:04 LO*Y L mediocre 
6 3 2:18:09 Y*yG E mediocre 
6 3 2:21:14 WGOW E good 
6 3 2:22:46 BPpY E mediocre 
6 3 2:23:29 WGOW L good 
6 3 2:25:38 Yo*O E mediocre 
6 3 2:25:41 Yo*O L mediocre 
6 3 2:26:00 Y*yG L mediocre 
6 3 2:28:02 BPpY L mediocre 
6 3 2:30:40 WO**1 E mediocre 
6 3 2:32:11 WO**1 L mediocre 
6 3 2:32:24 WO**1 E mediocre 
6 3 2:33:14 PG** E mediocre 
6 3 2:34:15 WO**1 L mediocre 
6 3 2:35:37 WGOW E good 
6 3 2:36:36 PG** L mediocre 
6 3 2:37:01 WGOW L good 
6 3 2:46:18 YO** E mediocre 
6 3 2:47:10 **YY E mediocre 
6 3 2:47:42 YO** L mediocre 
6 3 2:48:39 **YY L mediocre 
6 3 2:49:13 P*Y* E good 
6 3 2:57:05 P*Y* L good 
6 3 2:58:35 P*Y* E good 
6 3 3:05:08 P*Y* L good 
6 3 3:12:26 Y*yG E good 
6 3 3:12:54 WGOW E good 
6 3 3:17:50 WGOW L good 
6 3 3:21:14 PG** E good 
6 3 3:22:49 PG** L good 
6 3 3:23:07 P*Y* E mediocre 
6 3 3:23:12 P*Y* L mediocre 
6 3 3:24:01 WGOW E good 
6 3 3:24:03 WGOW L good 
6 3 3:27:30 GO** E mediocre 
6 3 3:29:18 Y*yG L good 
6 3 3:30:25 GO** L mediocre 
6 3 3:33:46 PYGL E mediocre 
6 3 3:33:59 PYGL L mediocre 
6 3 3:35:44 P*Y* E good 
6 3 3:37:08 Y*yG E good 
6 3 3:38:08 P*Y* L good 
6 3 3:42:10 GO** E mediocre 
6 3 3:43:35 GO** L mediocre 
6 3 3:46:17 BWYL E mediocre 
6 3 3:47:08 Y*yG L good 
6 3 3:47:14 WGOW E good 
6 3 3:47:36 *W**1 E mediocre 
6 3 3:49:07 BWYL L mediocre 
6 3 3:50:40 WO**1 E mediocre 
6 3 3:53:01 WO**1 L mediocre 
6 3 3:53:26 WO**1 E mediocre 
6 3 3:53:29 WGOW L good 
