SET,Treatment,Colony,Emigration,Leader,Follower,Time_Start,Time_Stop,Leaves_From,Arrives_at,Target,Success_or_Fail_or_Switch,BREAK_UP,X,Y,Nth_Tandem,Leader_Consist_Lead,Follower_Consist_Foll
3,Control,3_4,4,GPWR,PPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,3
3,Control,3_4,4,PRRG,YYYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,4
3,Control,3_4,4,BPGG,WRPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3,1
3,Control,3_4,4,WGBB,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3,4
3,Control,3_4,4,RGBP,PYWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,3
3,Control,3_4,4,GPWR,GBYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,1
3,Control,3_4,4,WRYP,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,4
3,Control,3_4,4,RGBP,PRRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,3
3,Control,3_4,4,PGRR,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,3
3,Control,3_4,4,RGBP,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,4
