SET,Treatment,Colony,Emigration,Leader,Follower,Time_Start,Time_Stop,Leaves_From,Arrives_at,Target,Success_or_Fail_or_Switch,BREAK_UP,X,Y,Nth_Tandem,Leader_Consist_Lead,Follower_Consist_Foll
3,leaders_removed,3_3,5,WGPW,PYGP,13:45:17,13:47:41,o,31.32,NA,Switch,NA,NA,NA,29,3,0
3,leaders_removed,3_3,5,XGXX,YBRG,13:47:41,13:48:28,31.32,o,NA,Switch,NA,NA,NA,30,0,2
3,Control,3_4,1,GBYR,YGGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2
3,Control,3_4,1,GBYR,PRPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2
3,Control,3_4,1,BYBR,YYRW,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4
3,Control,3_4,1,GBYR,RYRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3
3,Control,3_4,1,PGRR,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
3,Control,3_4,1,GBYR,RWYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,2
3,Control,3_4,1,BYBR,GGBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2
3,Control,3_4,1,GBYR,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,3
3,Control,3_4,1,GBYR,RWYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,2
3,Control,3_4,1,GBYR,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,4
3,Control,3_4,1,BYBR,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,3
3,Control,3_4,1,GBYR,YYYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,4
3,Control,3_4,1,WRYP,GWRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,1
3,Control,3_4,1,GBYR,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,3
3,Control,3_4,1,RWYG,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,4
3,Control,3_4,1,RWYG,GBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,4
3,Control,3_4,1,GBYR,PPBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4,4
3,Control,3_4,1,GPWR,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,3
3,Control,3_4,1,GBYR,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,3
3,Control,3_4,1,BYBR,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,3
3,Control,3_4,1,RWYG,PRPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,2
3,Control,3_4,1,PGGY,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,4,4
3,Control,3_4,1,GWRR,YRWB,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,3
3,Control,3_4,1,PGRR,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,3
3,Control,3_4,1,GWRR,PRRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,3
3,Control,3_4,1,PGRR,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,4
3,Control,3_4,1,GWRR,BBWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,4
