Genus,Species,"Detailed Foraging Type; 0=Solitary, 1=tandem behavior, 2=mass recruitment, 3=group recruitment, 4=group hunting/raiding, 5=trunk trails/long-term trail network [See Table 1 for Definitions & Reduced Parameters]"
Iridomyrmex,viridiaeneus,5
Labidus,coecus,4
Labidus,mars,4
Labidus,praedator,4
Labidus,spininodis,4
Lachnomyrmex,grandis,0
Lachnomyrmex,plaumanni,0
Lachnomyrmex,victori,0
Lasius,fuliginosus,2&5
Lasius,japonicus,5
Lasius,neoniger,0&2&5
Lasius,niger,2
Lasius,nipponensis,5
Lasius,pallitarsis,?
Leptanilla,japonica,5
Leptanilloides,sp.,4
Leptogenys,attenuata,0&3
Leptogenys,bubastis,0&3
Leptogenys,camerunensis,0&3
Leptogenys,chinensis,0&3
Leptogenys,diminuta,3
Leptogenys,elongata,3
Leptogenys,intermedia,4
Leptogenys,leleji,0
Leptogenys,maxillosa,0&3
Leptogenys,processionalis,4
Leptogenys,schwabi,?
Leptogenys,wheeleri,0&3
Leptomyrmex,sp.,0
Leptothorax,acervorum,1
Leptothorax,crassipilis,1
Leptothorax,muscorum,1
Linepithema,humile,5
Liometopum,apiculatum,5
Liometopum,microcephalum,5
Liometopum,occidentale,5
Lioponera,cohici,4
Lioponera,turneri,3
Lividopone,sp.,4
Lophomyrmex,bedoti,5
Mayaponera,constricta,1
Mayriella,overbecki,2
Megalomyrmex,mondaboroides,3
Megalomyrmex,silvestrii,3
Megalomyrmex,wettereri,3
Megaponera,analis,3
Melophorus,bagoti,0
Meranoplus,minimus,0
Meranoplus,sp.,0
Mesoponera,caffraria,1
Messor,aciculatus,0
Messor,aegypticus,5
Messor,arenarius,0&3
Messor,barbarus,5
Messor,bouvieri,5
Messor,capensis,5
Messor,capitatus,0
Messor,ebeninus,5
Messor,hispanicus,5
Messor,minor,5
Messor,rufitarsis,5
Messor,structor,0&?
Messor,wasmanni,5
Metapone,madagascarica,0&3
Metapone,vincimus,0&3
Monomorium,minimum,0&2
Monomorium,venustrum,2
Monomorium_GroupE,pharaonis,2
Monomorium_GroupE,sydneyense,2
Mycetophylax,asper,0
Myopopone,castanea,0
Myrmecia,comata,0
Myrmecia,croslandi,0
Myrmecia,dispar,0
Myrmecia,gulosa,0
Myrmecia,midas,0
Myrmecia,varians,0
Myrmecina,nipponica,3
Myrmecocystus,minicus,0&3
Myrmica,rubra,3
Myrmica,ruginodis,2&3
Myrmica,sabuleti,2&3
Myrmica,scabrinodis,?
Myrmicaria,brunnea,2&5
Myrmicaria,natalensis,?
Myrmicaria,opaciventris,5
Myrmicocrypta,ednaella,0
Myrmoteras,barbouri,0
Myrmoteras,toro,0
Mystrium,rogeri,2
Neivamyrmex,compressinodis,4
Neivamyrmex,nigrescens,4
Neivamyrmex,pilosus,4
Neivamyrmex,rugulosus,4
Neivamyrmex,texanus,4
Neoponera,apicalis,0
Neoponera,commutata,3
Neoponera,goeldii ,0
Neoponera,laevigata,3
Neoponera,marginata,3
Neoponera,obscuricornis,0
Neoponera,villosa,0
Nesomyrmex,echinatinodis,2
Nesomyrmex,spininodis,2
Nesomyrmex,wilda,2
Nomamyrmex,esenbeckii,4
Nomamyrmex,hartigii,4
Nothomyrmecia,macrops,0
Notostigma,carazzii,0
Notostigma,foreli,0
Novomessor,albisetosus,2&3
Novomessor,cockerelli,2&3
Novomessor,ensifer,0
Nylanderia_GroupA,fulva,5
Nylanderia_GroupA,pubens,5
Ochetellus,flavipes,5
Ochetellus,glaber,?
Ocymyrmex,barbiger,0&3
Ocymyrmex,robustior,0&3
Odontomachus,bauri,0
Odontomachus,chelifer,0
Odontomachus,hastatus,0
Odontomachus,opaciventris,0
Odontomachus,ruginodis,0
Odontomachus,troglodytes,1
Odontoponera,transversa,4
Oecophylla,longinoda,5
Oecophylla,smaragdina,5
Onychomyrmex,doddi,4
Onychomyrmex,hedleyi,4
Onychomyrmex,mjobergi,4
Ooceraea,biroi,4
Ophthalmopone,berthoudi,0
Ophthalmopone,hottentota,0
Orectognathus,versicolor,2
Pachycondyla,harpax,1
Pachycondyla,striata,1
Paltothyreus,tarsatus,0&2
Paraponera,clavata,0&1&5
Parasyscia,flavaclavata,4
