Colony_ID Replicate Leader Follower StartTime EndTime Origin target_choice Target_Nest Origin_Y TandEnd_X TandEnd_Y Fail.Success
1 3 28A 2A6 4636 4730 Original R 36 39 39 39 Fail
1 3 1DC 2A6 4770 5368 Original R 36 39 45 25 Fail
1 3 12 30C 5050 5244 Original R 36 39 56 4 Success
1 3 3BE F8 5143 5540 Original L 36 39 16 4 Success
1 3 12 209 5585 5714 Original R 36 39 56 4 Success
1 3 3BE 175 5825 5971 Original R 36 39 56 4 Success
1 3 28A 3DA 5870 6106 Original R 36 39 56 4 Success
1 3 1DC 4F 5960 6435 Original L 36 39 20 30 Fail
1 3 12 167 6180 6320 Original R 36 39 56 4 Success
1 3 3BE 179 6348 6563 Original R 36 39 56 4 Success
1 3 209 D8 6506 6675 Original R 36 39 49 19 Fail
1 3 28A R2D2 6582 6755 Original R 36 39 56 4 Success
1 3 1DC 3C3 6984 7329 Original R 36 39 55 29 Fail
1 3 3BE 279 7089 7209 Original R 36 39 56 4 Success
1 3 28A 175 7479 7572 Right I 56 4 70 16 Fail
1 3 209 3DA 7539 7656 Original R 36 39 55 34 Fail
1 3 D8 F8 7630 7850 Original L 36 39 24 6 Fail
1 3 3BE 4F 7680 7876 Original R 36 39 56 4 Success
1 3 12 20B 7705 7820 Right I 56 4 37 18 Fail
1 3 222 35B 8010 8457 Original L 36 39 16 4 Success
1 3 D8 279 8372 8729 Original L 36 39 16 4 Success
1 3 3BE 2AB 8413 8566 Original R 36 39 56 4 Success
1 3 1DC F8 8754 8920 Right I 56 4 60 35 Fail
1 3 222 26 8847 9395 Original L 36 39 16 4 Success
1 3 3BE 24F 9340 9564 Right I 56 4 36 39 Success
1 3 1DC F8 9459 9785 Right I 56 4 36 39 Success
1 3 222 279 9805 10120 Original R 36 39 56 4 Success
1 3 1DC 127 10085 10538 Right I 56 4 36 39 Success
1 3 222 11D 10455 10503 Right L 56 4 51 6 Fail
1 3 3BE 2A6 10416 10638 Right I 56 4 46 39 Fail
1 3 222 175 10810 11090 Right I 56 4 67 2 Fail
1 3 167 D8 11155 11370 Right I 56 4 61 40 Fail
1 3 1DC 36 11195 11469 Right I 56 4 36 39 Success
1 3 3BE 279 11425 11684 Right I 56 4 36 39 Success
1 3 12 R2D2 11560 11776 Right I 56 4 49 43 Fail
1 3 3BE 175 12130 12280 Right I 56 4 36 39 Success
1 3 222 11 12200 12542 Right I 56 4 36 39 Success
1 3 24F FC 12259 12330 Right I 56 4 52 22 Fail
1 3 3BE 244 12394 12576 Right I 56 4 36 39 Success
1 3 3BE D8 12951 13145 Right I 56 4 36 39 Success
1 3 3BE 7B 13290 13367 Right I 56 4 43 22 Fail
1 3 36 2B 13306 13645 Right I 56 4 36 39 Success
1 3 28A 35B 13375 13708 Right I 56 4 50 27 Fail
1 3 36 35B 14170 14420 Right I 56 4 51 35 Fail
1 3 222 12 14390 14696 Right I 56 4 36 39 Success
1 3 3DA FC 14472 14523 Right I 56 4 56 15 Fail
1 3 36F 4F 14710 15162 Right I 56 4 42 43 Fail
1 4 3C3 11 10047 10162 Original R 36 39 48 22 Fail
1 4 3C3 175 10930 11212 Original L 36 39 2 10 Fail
1 4 209 3DA 11022 11093 Original R 36 39 39 33 Fail
1 4 167 11 11020 11348 Original R 36 39 61 8 Fail
1 4 1DC F8 11238 11551 Original R 36 39 56 4 Success
1 4 20B AF 11537 11891 Original L 36 39 8 9 Fail
1 4 222 36 11934 12166 Original L 36 39 16 4 Success
1 4 3C3 358 12062 12274 Original R 36 39 56 4 Success
1 4 222 R2D2 12632 12859 Original L 36 39 8 3 Fail
1 4 167 F8 12744 12916 Original R 36 39 56 4 Success
1 4 3C3 175 12880 13068 Original R 36 39 56 4 Success
1 4 24F 28A 13135 13255 Right I 56 4 51 23 Fail
1 4 222 244 13200 13449 Original L 36 39 16 4 Success
1 4 3AA D8 13261 13396 Right I 56 4 36 39 Success
1 4 3C3 D8 13500 13654 Original R 36 39 56 4 Success
1 4 24F 175 13545 13863 Right I 56 4 64 25 Fail
1 4 222 2A6 13715 13875 Original L 36 39 16 4 Success
1 4 F2 209 13777 14026 Original L 36 39 17 4 Fail
1 4 36 28A 13819 14117 Original L 36 39 16 4 Success
1 4 3DA 1DC 13943 14150 Original R 36 39 54 9 Fail
1 4 3AA 1DC 14103 14299 Right I 56 4 36 39 Success
1 4 222 358 14198 14431 Original L 36 39 16 4 Success
1 4 167 279 14380 14479 Right I 56 4 70 24 Fail
1 4 36 1DC 14496 14741 Original L 36 39 16 4 Success
1 4 244 353 14540 14655 Original L 36 39 14 28 Fail
1 4 3AA F8 14540 14690 Right I 56 4 36 39 Success
1 4 3C3 88 14562 14764 Original R 36 39 56 4 Success
1 4 24F 175 14702 15051 Right I 56 4 59 41 Fail
1 4 222 4F 14845 15105 Left I 16 4 32 40 Fail
1 4 F2 AF 14879 15187 Original L 36 39 16 4 Success
1 4 3C3 20B 15256 15406 Original R 36 39 56 4 Success
1 4 3AA 20B 15424 15464 Right I 56 4 49 10 Fail
1 4 244 279 15550 15585 Original L 36 39 29 40 Fail
1 4 222 D8 15786 16006 Left I 16 4 36 39 Success
1 4 36 11 15810 16282 Left I 16 4 36 39 Success
1 4 244 279 16410 16660 Original L 36 39 16 4 Success
1 4 167 88 16846 16943 Right I 56 4 61 13 Fail
1 4 167 20B 17187 17704 Right I 56 4 36 39 Success
1 4 1DC 2B 17587 17641 Right I 56 4 62 8 Fail
1 4 167 AF 18070 18308 Right I 56 4 36 39 Success
1 4 222 28A 18268 18437 Left I 16 4 36 39 Success
1 4 36 2B 18268 18971 Left I 16 4 36 39 Success
1 4 222 11 18640 18679 Left I 16 4 11 13 Fail
1 4 167 2B 18896 18920 Right I 56 4 62 12 Fail
1 4 167 D8 19200 19250 Right I 56 4 62 14 Fail
1 4 222 2EC 19570 19832 Left I 16 4 36 39 Success
1 4 3C3 2B 22090 22146 Right I 56 4 64 21 Fail
1 4 3C3 221 22730 22766 Right I 56 4 56 12 Fail
1 4 3C3 358 23366 23591 Right I 56 4 36 39 Success
1 5 12 209 4758 4849 Original L 36 39 12 37 Fail
1 5 3C3 2A6 5065 5276 Original L 36 39 16 4 Success
1 5 3C3 209 5636 6097 Original L 36 39 16 4 Success
1 5 12 4F 5822 6041 Original L 36 39 16 4 Success
1 5 F2 3DD 5921 6024 Original R 36 39 39 37 Fail
1 5 12 7B 6602 6777 Original L 36 39 8 10 Fail
1 5 F2 3AA 6743 7019 Original L 36 39 16 2 Fail
1 5 3C3 222 6857 7172 Original L 36 39 11 1 Fail
